accession_number,artist,title,date,medium,dimensions,edition,matsize,location,notes,photo,condition,value,source,reference,website,image_file_name
CC.2016.APP.5,"D'Amato, Paul ","Girl in Rain, Chicago ",1991,Archival pigment print,11 x 13.75 in.,8/50,16 x 20,,"Signature, title, and edition verso; light work fine print",,11/15/17,,,,http://pauldamato.com/,
CC.2018.GSP.10,"Dauman, Henri",Boston Globe: JFK Victory,1960,Geltain silver print,16 x 20 in.,18/25,,,From the JFK Official Centennial Portfolio,,,"$3,000",Appraisal,PDNB Gallery,,
CC.2011.POSTER.1,"Delano, Jack","Family of Peter V Andrews, 1941",1995,Exhibition poster,34 x 22 in.,,,????,"signed, limited ed",,,,,,,
CC.2011.APP.14,"Denton, Kay",Bent Tree,2005,Archival pigment print,8 x 10.75 in.,,,,"Signature, title, and date verso",,11/6/17,$375,list,TPS auction cat,,
CC.2011.GSP.8,"Denton, Kay",Unbeholding,2005,Gelatin silver print,8 x 10 in.,,11 x 14,,signed verso,,10/2/17,,,,,
CC.2013.APP.5,"Divine, Karen",Kanga,,Archival pigment print,14 x 17.875 in,9/20,,,"Signature, title, and edition recto; 17x22 paper",,12/13/17,,,,,
CC.2013.APP.6,"Dobrowner, Mitch","Arm of God, Galatia, Kansas",2007,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, Storms folio #344, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.7,"Dobrowner, Mitch","Bearﾕs Claw, Moorcroft, Wyoming",2007,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, Storms folio #344, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.8,"Dobrowner, Mitch",Bentonite Waves,2008,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.9,"Dobrowner, Mitch",Bright Angel,2008,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.10,"Dobrowner, Mitch",Church Rock,2008,Ultrachrome K3 archival print,6.4375 x 8 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.11,"Dobrowner, Mitch","Clouds, Near Limon, Colorado",2007,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, Storms folio #344, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.12,"Dobrowner, Mitch","Funnel, Cornfield, Northfield, Minnesota",2007,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, Storms folio #344, 8 x 10.5 in paper",,10.9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.13,"Dobrowner, Mitch",Indian Head,2008,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.14,"Dobrowner, Mitch",Mars Formation,2008,Ultrachrome K3 archival print,6 x 9.375 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.15,"Dobrowner, Mitch","Mushroom Cloud, Near Lawndale, Minnesota",2007,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, Storms folio #344, 8 x 10.5 in paper",,10.9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.16,"Dobrowner, Mitch",Pleistocene,2008,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.17,"Dobrowner, Mitch","Road, Near Guymon, Oklahoma",2007,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, Storms folio #344, 8 x 10.5 in paper",,10.9/17,,,,http://www.mitchdobrowner.com,
CC.2016.APP.6,"Dobrowner, Mitch",Serpent's Tail ,2012/2014,Archival pigment print,10.75 x 16 in.,6/20,,,"Signature, title, and edition recto; TPS member print",,11/29/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.18,"Dobrowner, Mitch",Shiprock,2008,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.19,"Dobrowner, Mitch","Storm Cell, Near Davidson, Wyoming",2007,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, Storms folio #344, 8 x 10.5 in paper",,10.9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.20,"Dobrowner, Mitch",Temple of the Moon,2008,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.21,"Dobrowner, Mitch",The Windows,2008,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.22,"Dobrowner, Mitch","Vapor Cloud, Near Clayton, New Mexico",2007,Ultrachrome K3 archival print,6.25 x 9.375 in.,,,,"First edition, Storms folio #344, 8 x 10.5 in paper",,10.9/17,,,,http://www.mitchdobrowner.com,
CC.2013.APP.23,"Dobrowner, Mitch",Vasquez Point,2008,Ultrachrome K3 archival print,6.4875 x 9 in.,,,,"First edition, The Still Earth folio #317, 8 x 10.5 in paper",,10/9/17,,,,http://www.mitchdobrowner.com,
CC.2011.CP.1,"Dopson, Diana","Fairyland, Specimen W23",2005,Chromogenic print,5 x 5 x 1.5 in.,2/50,,,"Signature verso, oiled walnut frame",,12/18/17,,,,http://www.dianadopson.com/splash,
CC.2017.APP.2,"Dow, Beth","Standard, Little Moreton Hall",2006,Archival pigment print,9 x 10.5 in.,1/25,16 x 20,,Signature and edition verso; TPS 2017 Print Program,,11/13/17,$195,Appraisal,PDNB Gallery,,
CC.2003.GSP.14,"Dresser, Rod","S-Shaped Sand Dune, Death Valley Ntl Mnmt",83/94,Gelatin silver print,10.5 x 10.5 in.,,24 x 20,,Signature recto,,11/6/17,$550,avg price small print telecon 2/4/04,Weston Gallery,,
CC.2011.GSP.9,"Ebner, Suzanne",Fadin' Away,,Gelatin silver print,9 x 13.375 in.,14/25,16 x 20,,Signature and edition recto,,11/8/17,"$1,050",auction list,TPS,,
CC.2018.DTP.1,"Edgerton, Harold",Diver,1955/85,Dye transfer print,18.3 x 13.5 in.,,,,Signed,,,"$2,000",Appraisal,PDNB Gallery,,
CC.2018.DTP.2,"Edgerton, Harold",Football Kick,1938/85,Dye transfer print,18.3 x 13.5 in.,,,,Signed,,,"$2,000",Appraisal,PDNB Gallery,,
CC.2018.APP.2,"Edmonds, John","Phantom, 2017",2017,Archival pigment print,12 x 9.6,,,,Signed,,,$300,Appraisal,PDNB Gallery,,
CC.2018.APP.3,"Eich, Matt",The Road Home,2007,Archival pigment print,10 x 15 in.,,,,Signed,,,$300,Appraisal,PDNB Gallery,,
CC.2011.APP.15,"Evans, D. Clarke","Ace Spring Service - San Antonio, Texas",,Archival pigment print on impresa pro gloss paper,5.25 x 13.875 in.,,12 x 20,,Signature verso and mat verso,,12/13/17,$425,list,TPS auction cat,,
CC.2013.APP.24,"Evans, D. Clarke","Ace Spring Service - San Antonio, Texas",,Archival pigment print on impresa pro gloss paper,6.125 x 16 in.,,,,,,9/27/17,,,,,
CC.2003.GSP.15,"Evans, James H.",Bull Snake on Sofa,1992,Gelatin silver print,9.25 x 7.5 in.,,20 x 16,,"8x10 paper, 11x14 mat, brown toned, vintage print, signed",,10/2/17,$391,"email, adj",Slc Gallery,,
CC.2019.GSP.2,"Evans, Walker","Bud Fields and His Family, Hale County, Alabama",1936,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions Lot# 97030,,,$250,Appraisal,PDNB Gallery,,
CC.2019.GSP.3,"Evans, Walker","Church Interior with Pump Organ, Alabama",1936,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions Lot# 97030,,,$250,Appraisal,PDNB Gallery,,
CC.2019.GSP.4,"Evans, Walker","Coal Miner's House, Scott's Run, West Virginia",1935,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions Lot# 97030,,,$250,Appraisal,PDNB Gallery,,
CC.2019.GSP.5,"Evans, Walker","Main Street Fa溝des of McCollum Grocery Company and Loftis Cafe with Man in Doorway, Greensboro, Alabama",1936,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions Lot# 97030,,,$250,Appraisal,PDNB Gallery,,
CC.2019.GSP.6,"Evans, Walker","Negroes in the Lineup for Food at the Food Refugee Camp, Forrest City, Arkansas",1937,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions Lot# 97030,,,$250,Appraisal,PDNB Gallery,,
CC.2019.GSP.7,"Evans, Walker","Washstand with Pail, Bowl, and Mirror in Dog Run of Burroughs Home, Hale County, Alabama",1936,Gelatin silver print,9.5 x 7.5 in.,,,,Heritage Auctions Lot# 97030,,,$250,Appraisal,PDNB Gallery,,
CC.2003.GSP.16,"Fagan, Dennis",Stallion,1999,Toned gelatin silver print,9.625 x 9.75 in.,,20 x 16,,Signature recto; 11x14 paper,,11/13/17,$650,"artist quote, Feb 04",dennis@feagan.com,http://www.fagan.com,
CC.2014.APP.3,"Faye, Gary",Pier,2000,Archival pigment print,8.375 x 11.875 in.,,,,"TPS, 2011 Print Program, signed recto",,10/9/17,$195,TPS,,http://www.garyfaye.com,
CC.2003.GSP.17,"Feininger, Andreas","Jewish Shop on the Lower East Side, Manhattan",1940,Gelatin silver print,12.5 x 10.25 in.,,24 x 20,,"11x14 paper, signed verso",,9/27/17,"$4,000",simil Barber Shop,Charles Schultz Ltd,,
CC.2012.GSP.1,"Feinstein, Harold",Beach Scene/Kids in Water,1954,Gelatin silver print,3.5 x 9.125 in.,4/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$600,,,,
CC.2012.GSP.2,"Feinstein, Harold",Bird in Cage,1968,Gelatin silver print,13.25 x 9.5 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$600,,,,
CC.2012.GSP.3,"Feinstein, Harold",Building in Rain,1974,Gelatin silver print,13 x 8.75 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$800,,,,
CC.2012.GSP.4,"Feinstein, Harold",Child & Carousel Ride,1949,Gelatin silver print, 7.75 x 11 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$900,,,,
CC.2012.GSP.5,"Feinstein, Harold",Hats/Boardwalk,1949,Gelatin silver print,8.5 x 13 in.,12/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$800,,,,
CC.2012.GSP.6,"Feinstein, Harold",Horse in Fog,1974,Gelatin silver print,8.5 x 13.25 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$800,,,,
CC.2012.GSP.7,"Feinstein, Harold",Lace Curtains/ Apples,1948,Gelatin silver print,8.75 x 10.875 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$800,,,,
CC.2012.GSP.8,"Feinstein, Harold",Landscape with Cloud,1963,Gelatin silver print,9.125 x 6 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$600,,,,
CC.2012.GSP.9,"Feinstein, Harold",Man Embracing Child,1974,Gelatin silver print,12.875 x 8.625 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$800,,,,
CC.2012.GSP.10,"Feinstein, Harold","Man Smoking Cigarette, Playing Guitar, Coney Island",1950,Gelatin silver print,8.5 x 12.875 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$800,,,,
CC.2012.GSP.11,"Feinstein, Harold",Man+Woman - Double exposre,1965,Gelatin silver print,8.5 x 13 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$700,,,,
CC.2012.GSP.12,"Feinstein, Harold",Multiple Hands,1979,Gelatin silver print,12.75 x 8.5 in.,4/200,,,"dated, editioned, and signed in black ink on print margin",,10/9/17,$600,,,,
CC.2012.GSP.13,"Feinstein, Harold",Pigeons,1955,Gelatin silver print,9 x 13.25,4/200,,,"dated, editioned, and signed in black ink on print margin",,10/4/17,$700,,,,
CC.2012.GSP.14,"Feinstein, Harold",Soldiers Marching in Fog,1952,Gelatin silver print,8.375 x 12.875 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/4/17,$600,,,,
CC.2012.GSP.15,"Feinstein, Harold",Soldiers with Rifles,1952,Gelatin silver print,8 x 9.375 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/4/17,$600,,,,
CC.2012.GSP.16,"Feinstein, Harold",Street Scene Snow & Shoes,1969,Gelatin silver print,9.625 x 13.25 in.,4/200,,,"dated, editioned, and signed in black ink on print margin",,10/4/17,$800,,,,
CC.2012.GSP.17,"Feinstein, Harold",Woman/Subway,1972,Gelatin silver print,8.625 x 13 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/4/17,$800,,,,
CC.2012.GSP.18,"Feinstein, Harold",Woman with Hat and Pearls,1964,Gelatin silver print,9.625 x 13.3125 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/4/17,$900,,,,
CC.2012.GSP.19,"Feinstein, Harold",Young woman/Curtain backdrop,1951,Gelatin silver print,13 x 9.5 in.,3/200,,,"dated, editioned, and signed in black ink on print margin",,10/4/17,$800,,,,
CC.2012.GSP.20,"Feinstein, Harold",Young Woman Wearing Fur,1950,Gelatin silver print,12.75 x 8.25 in.,4/200,,,"dated, editioned, and signed in black ink on print margin",,10/4/17,$800,,,,
CC.2003.GSP.18,"Fernandez, Benedict J.","Memorial to Martin Luther King, Jr., Central Park, NYC, April 5",1968,Gelatin silver print,8.125x12.25,,16 x 20,,"14x11 paper, signatur, date, and title recto",,9/18/17,$789,simil Martin Luther King,auction 11/4/00 Lempertz,,
CC.2003.GSP.19,"Fink, Larry","Studio 54, New York City, May 77",1977,Gelatin silver print,9.75 x 9.75 in.,21/50,20 x 16,,"11x14 paper, signed verso, Mother Jones portfolio #6",,9/18/17,"$2,375","same, adj size, auction","Phillips, DePury & Lux",,
CC.2011.GSP.10,"Finlay, Colin","Religious Pilgrimage, Saut d'Eau, Haiti",1999,Gelatin silver print,6.25x9.375,,20 x 16,,signed verso,,9/18/17,$450,list price,fotovision,http://www.colinfinlay.com,
CC.2011.APP.16,"Fitch, Blake",Dorothy,1997,Pigmented inkjet print,10 x 8 in.,,18 x 14,,"Signature verso, on 11x14 paper",,11/6/17,,,,http://blakefitchphotos.com,
CC.2016.GSP.38,"Flomen, Michael ",Old Man Shading Eyes ,,Gelatin silver print,9.5 x 13 in.,,,,similar to photos in book ,,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.39,"Flomen, Michael ","Plate 1, Venice, Italy ",1983,Gelatin silver print,11 x 14 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.40,"Flomen, Michael ","Plate 2, Paris, France ",1981,Gelatin silver print,11 x 14 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.41,"Flomen, Michael ","Plate 3,Montreal Canada ",1979,Gelatin silver print,11 x 14 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.42,"Flomen, Michael ","Plate 4, Paris, France",1981,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.43,"Flomen, Michael ","Plate 5, Washington, DC",1980,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.44,"Flomen, Michael ","Plate 7, Paris, France ",1981,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.45,"Flomen, Michael ","Plate 9, Paris, France",1981,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.46,"Flomen, Michael ","Plate 11, Tokyo, Japan ",1977,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.47,"Flomen, Michael ","Plate 12, Kyoto, Japan ",1977,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.48,"Flomen, Michael ","Plate 13, Montreal, Canada ",1979,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.49,"Flomen, Michael ","Plate 15, Florence, Italy ",1981,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.50,"Flomen, Michael ","Plate 16, Paris, France ",1981,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.51,"Flomen, Michael ","Plate 17, Paris, France ",1983,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.52,"Flomen, Michael ","Plate 18, Florence, Italy ",1981,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.53,"Flomen, Michael ","Plate 19, West Berlin ",1984,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.54,"Flomen, Michael ","Plate 22, Assisi, Italy ",1981,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.55,"Flomen, Michael ","Plate 23, Paris, France ",1981,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.56,"Flomen, Michael ","Plate 26, Paris, France ",1984,Gelatin silver print,9.5 x 13 in.,,,,from book (item 38),,,,,,http://michael-flomen.squarespace.com/,
CC.2016.BOOK.1,"Flomen, Michael ","Still Life Draped Stone (special hand bound edition U of 26, A-Z)",1985,Book,9.5 x 12.7 in.,,,,"LN, 1 of 26, signed, slipcase, original ",,,,,,http://michael-flomen.squarespace.com/,
CC.2016.GSP.57,"Flomen, Michael ",Woman with Handbag ,,Gelatin silver print,9.5 x 13 in.,,,,similar to photos in book ,,,,,,http://michael-flomen.squarespace.com/,
CC.2014.CP.1,"Foglia, Lucas","Alex with Magnolia Leaf Rain Hat, NC",2007,Chromogenic print on Fuji paper,23.5 x 30 in.,,,JO 4.122,"from Lucas Foglia, edition 3 of 5",,,"$4,000",artist,Website,http://lucasfoglia.com,
CC.2014.CP.2,"Foglia, Lucas","Andrew and Tatum Drinking Raw Goat's Milk, TN",2009,Chromogenic print on Fuji paper,23.5 x 30 in.,,,HANGING,"from Lucas Foglia, edition 5 of 5",,,"$4,800",artist,Website,http://lucasfoglia.com,
CC.2013.APP.25,"Foglia, Lucas","Cardin in the Rain, Virginia",2006,Archival inkjet print,7.5 x 10 in.,1/50,16 x 20,,"Signature, date, and edition verso, 9.5x12 paper, 2014 Fine Print Program",,10/16/17,,,,http://lucasfoglia.com,
CC.2014.CP.3,"Foglia, Lucas","Creek, Kevin's Land, Virginia ",2009,Chromogenic print on Fuji paper,23.5 x 30 in.,,,HANGING,"from Lucas Foglia, edition 2 of 5",,,"$4,000",artist,Website,http://lucasfoglia.com,
CC.2014.CP.4,"Foglia, Lucas","Rowdy Moving Cattle, 71 Ranch, Deeth, NV",2012,Chromogenic print on Fuji paper,23.5 x 30 in.,,,HANGING,"from Robischon, Denver, CO",,,"$4,000",gallery,D. Demosthenesh,http://lucasfoglia.com,
CC.2014.CP.5,"Foglia, Lucas","Watermelon Patch, Twin Oaks Intl Community, VA",2009,Chromogenic print on Fuji paper,23.5 x 30 in.,,,JO 4.122,"from Lucas Foglia, edition 3 of 5",,,"$4,000",artist,Website,http://lucasfoglia.com,
CC.2014.APP.4,"Forman, Fran",Swan Woman,2011,Archival pigment print,7 x 9.5 in.,,,,"TPS 2014 Print Program, signature, title, and date verso",,10/9/17,$195,TPS,,http://www.franforman.com,
CC.2003.GSP.20,"Francois, Nine",Monkey Legs #1,98/99,,8.875 x 8.75 in.,,24 x 20,,"Signature and date recto, 11x14 paper",,9/27/17,$550,"artist quote, Mar 04",telecon 2/5/04,,
CC.2018.APP.4,"Frazier, LaToya Ruby",Grandma Ruby & Me in her LR,2007,Archival pigment print,14 x 11.3 in.,,,,Signed,,,$500,Appraisal,PDNB Gallery,,
CC.2003.GSP.21,"Freed, Leonard","Harlem, New York City",1963,Gelatin silver print,12 x 8 in. ,,20 x 16,,"Signature, date, and title verso, 11x14 paper",,9/18/17,"$2,500","same, adj later print",Lee Gallery,,
CC.2014.APP.5,"Freeman, Sandra",White Tulips,2008,Archival pigment print,11.25 x 7.5 in.,14/30,16 x 12,,"TPS 2011 Print Program, signature and edition recto",,10/9/17,$195,TPS,,http://www.sandrafreemanphotography.com,
CC.2011.GSP.11,"Fuhrmann, Ernst",Group of Four Plant Photographs,c. 1930,Gelatin silver print,9 x 6.75 in.,,,,Title and studio stamp verso,,11/2/17,,,,,
CC.2011.GSP.12,"Fuhrmann, Ernst",Hornklee,c. 1930,Gelatin silver print,9 x 6.625 in.,,,,Title and studio stamp verso,,11/2/17,,,,,
CC.2011.GSP.13,"Fuhrmann, Ernst","Campanula tracheliu, Glockenblume",c. 1930,Gelatin silver print,9 x 6.625 in.,,,,Title and studio stamp verso,,11/2/17,,,,,
CC.2011.GSP.14,"Fuhrmann, Ernst","Geraniaceae, Erodium gruinu, Storchenschnabel, Samen",c. 1930,Gelatin silver print,9 x 6.625 in.,,,,Title and studio stamp verso,,11/2/17,,,,,
CC.2003.GSP.22,"Fulbright, Janna",Moon Behind Glass,1992,Gelatin silver print,10 x 10 in.,,,,"Signature, title,and date verso, 11x14 paper",,10/25/17,$200,artist quote Feb 04,jfulbright@amser.org,,
CC.2019.APP.13,"Fulford, Jason",South of Chennai,2001,Archival pigment print,12 x 8 in. ,,,,Signed,,,$300,Appraisal,PDNB Gallery,,
CC.2011.GSP.15,"Furtado, Ryan","Cockfighter, Phillipines",2010,Gelatin silver print,13.5 x 20 in.,,,,acquired from fotovision,,10/16/17,,,,http://ryanfurtadophotography.com,
CC.2011.GSP.16,"Gentry, Joan",Winsor Creek Runoff,2005,Gelatin silver print,10.5 x 13.375 in.,,16 x 20,,"Mounted, signature mat recto, information mat verso",,10/2/17,,,,http://www.joangentry.com,
CC.2011.GSP.17,"George, Amy Holmes",Her Magnolia,2007,Gelatin silver print,6 x 6 in.,,,,"Signature, title, and date verso; Embossed signature recto",,11/13/17,,,,http://www.amyholmesgeorge.com,
CC.2014.APP.6,"George, Ann",Soul Search,2014,Varnished archival pigment print,9 x 10 in.,8/10,,,"TPS 2014 Print Program, signature, title, and edition verso",,10/9/17,$195,TPS,,http://www.anngeorgephotography.com,
CC.2011.APP.17,"Gibson, David H","Water and Light, A Sequence",2010,Archival pigment print,24 x 16 in.,,,JO 4.122,"signed recto, info verso",,,,,,http://www.davidhgibson.com,
CC.2003.GSP.23,"Gibson, Ralph",New York,1968,Gelatin silver print,6.1 x 9 in.,,,,"11x14 paper, signed",,,"$1,500",simil RG-10074,A Gallery,http://www.ralphgibson.com,
CC.2013.APP.26,"Gleaton, Tony","Langi, Wearing a Siap o (Bark Cloth) Dress, Western Samoa",2000,Archival pigment print,9 x 9 in,8/50,18 x 14,,"Signature and edtion verso, 2012 Fine Print Program",,10/16/17,,,,,
CC.2003.EP.3,"Goff, Steve","Untitled from ""Someone's in the Garden""",1998,Ektacolor print,9.375 x 9.5 in.,,24 x 20,,Signature recto; 11x14 paper,,11/13/17,$325,"artist quote, Mar 04",sgoff@odessa.edu,http://stevegoffphotography.tumblr.com,
CC.2003.CP.3,"Goldin, Nan","Lynette & Donna at Marion's Restaurant, NYC",1991,Cibachrome print,9.125 x 13.5 in.,21/100,16 x 20,,"14x11 paper, signature, date, title, and edition verso",,9/20/17,"$1,202",simil Honeymoon Suite ,auction 12/6/02 Bassenge,,
CC.2016.BP.1,"Goldkind, Joy ",Image 250,2010,Bromoil print,9.25 x 12 in.,2/10,16 x 20,,Signature recto,,11/15/17,,,,http://www.bromoil.info/goldkind/goldkind.html,
CC.2011.APP.18,"Goldman, Rob","Carol, New York #2",2005,Archival pigment print,12.75 x 8.5 in.,7/50,,,Signature and edition verso,,10/2/17,,,,http://www.rgoldman.com,
CC.2016.APP.7,"Golemboski, Carol ","Run, Run, Fast As You Can ",,Archival pigment print,9 x 9 in.,2/20,,,"Signature, date, and edition verso; TPS member point",,11/29/17,,,,http://www.carolgolemboski.com/index.html,
CC.2011.GSP.18,"Gordon, Richard","The National Atomic Museum, Albuquerque, NM",2006/7,Gelatin silver print,12 x 8 in.,,,,"signed recto, fotovision port 3",,10/25/17,,,,,
CC.2013.APP.27,"Graham, Lonnie","Thompson Avenue, Eatonville, FL",2003,Archival pigment print,8 x 10 in.,,16 x 20,,"Signed recto, The Eatonville Portfolio",,9/18/17,,,,http://conversationwiththeworldcalgary.com/photographer/,
CC.2016.APP.8,"Grant, Susan Kae",The Bird Collector ,2012,Archival pigment print,13.75 x 10 in.,6/25,24 x 20,,Signature and various information verso; TPS member print,,11/13/17,,,,http://www.susankaegrant.com/,
CC.2016.APP.9,"Gray, Todd",Michael Jackson,1981/2010,Archival pigment print,14.25x 9.625,35/50,20x15.5,,Signed dated in addition below image,,9/18/17,,,,,
CC.2011.APP.19,"Gremillion, Kimberly",Dance #15,,Archival pigment print,17.75 x 12 in.,,26 x 20,,Signature and title recto,,11/8/17,"$1,000",TPS,TPS auction cat,http://www.kimberlygremillion.com,
CC.2003.GSP.24,"Gremillion, Kimberly",Shadow #2,95/97,Gelatin silver print,11.875 x 7.875 in.,9/50,,,"Signature, date, and edition recto, 11x14 paper",,9/25/17,$600,"simil KG-20800, adj",A Gallery,http://www.kimberlygremillion.com,
CC.2011.APP.20,"Gremillion, Kimberly",Threshold #26,,Archival pigment print,17.75 x 12 in.,28 x 22,,,"Signature and title recto, matted and framed 28.5x22",,12/18/17,,,,http://www.kimberlygremillion.com,
CC.2011.GSP.19,"Grenon, Martha","Martin ""Topo"" Cancun, #1 Tin Man in Austin",2008,Gelatin silver print,10.125 x 10.125 in.,,20 x 16,,"Signature, title, and date recto, information sticker mat verso",,10/2/17,,,,http://www.marthagrenon.com,
CC.2019.APP.14,"Griffiths, Meg",Bounty,2014,Archival pigment print,10 x 10 in.,,,,Signed,,,$200,Appraisal,PDNB Gallery,http://www.meggriffithsphotography.com/,
CC.2017.CP.1,"Guidi, Guido","Kaliningrad, Russia",1994,Chromogenic print,6.75 x 8.5 in.,7/30,,,Signature and edition verso; Aperture Collectors Series,,11/15/17,$625,Appraisal,PDNB Gallery,,
CC.2017.DTP.1,"Haas, Ernst",Arizona,1969,Dye transfer print,12.75 x 19.25 in.,,,,Signature recto; Creation Portfolio #232; Heritage Lot # 73074,,11/27/17,"$1,500",Appraisal,PDNB Gallery,,
CC.2003.GSP.25,"Haas, Ernst","Homecoming Soldier, VIENNA",46/94,Gelatin silver print,12 x 8.625 in.,21/50,20 x 16,,Estate stamp and information verso; Mother Jones Portfolio #6,,9/20/17,$701,"Similar to Times Square,NY",,,
